name,category_raw,road_address,mapx,mapy,star,visitor_rev,blog_rev,collected_at
공산성,문화유적,충청남도 공주시,1271260110,364632237,4.3,"1,204",890,2026-08
공주무령왕릉과왕릉원,문화유적,충청남도 공주시,1271144131,364630908,4.2,512,430,2026-08
국립공주박물관,박물관,충청남도 공주시,1271123031,364655934,4.4,843,651,2026-08
석장리박물관,박물관,충청남도 공주시,1271889636,364477636,3.8,121,96,2026-08
충청남도역사박물관,박물관,충청남도 공주시,1271266077,364537630,3.7,63,41,2026-08
마곡사,사찰,충청남도 공주시,1270120163,365588933,4.6,"1,532","1,120",2026-08
갑사,사찰,충청남도 공주시,1271861223,363656549,4.4,707,512,2026-08
동학사,사찰,충청남도 공주시,1272190758,363533309,4.3,"1,018",604,2026-08
신원사,사찰,충청남도 공주시,1271839615,363357096,3.9,168,122,2026-08
천주교황새바위순교성지,성지,충청남도 공주시,1271200687,364638739,3.8,92,58,2026-08
공주한옥마을,한옥,충청남도 공주시,1271085301,364645968,3.6,246,315,2026-08
유구색동수국정원,정원,충청남도 공주시,1269543887,365554890,4.8,431,705,2026-08
계룡저수지,저수지,충청남도 공주시,1271529679,363581031,,17,12,2026-08
고마나루솔밭,숲,충청남도 공주시,1271014004,364615026,4.0,138,87,2026-08
공주산림휴양마을,자연휴양림,충청남도 공주시,1271190677,364234616,,54,33,2026-08
공주산성시장문화공원,공원,충청남도 공주시,1271229158,364570503,,9,6,2026-08
임립미술관,미술관,충청남도 공주시,1271406196,363964545,4.7,14,61,2026-08
이미정갤러리,갤러리,충청남도 공주시,1271225874,364527243,,12,9,2026-08
대통길작은미술관,미술관,충청남도 공주시,1271224030,364531050,4.8,8,18,2026-08
자연미술관Ko,미술관,충청남도 공주시,1271236778,364536085,4.8,11,39,2026-08
공주목재문화체험장,체험마을,충청남도 공주시,1271204127,364220185,4.3,71,44,2026-08
대장이랜드중장농촌체험휴양마을,농촌체험마을,충청남도 공주시,1271650303,363686501,,4,3,2026-08
계룡산상신농촌체험휴양마을,농촌체험마을,충청남도 공주시,1272200689,363844632,4.9,4,5,2026-08
아트센터고마,문화예술회관,충청남도 공주시,1271074328,364666736,3.8,112,79,2026-08
공주산성시장,재래시장,충청남도 공주시,1271236341,364575705,3.9,"1,043",812,2026-08
개성집공주점,한정식,충청남도 공주시,1271225050,364635339,4.5,"1,287",640,2026-08
고마나루1999,한식,충청남도 공주시,1271227318,364649789,4.4,396,288,2026-08
공산성본가,한식,충청남도 공주시,1271221439,364639695,4.2,"1,128",507,2026-08
베이커리밤마을,베이커리,충청남도 공주시,1271230132,364647566,4.4,312,401,2026-08
곡물집,카페,충청남도 공주시,1271195048,364496510,5.0,2,1,2026-08
개성집,한정식,충청남도 공주시,1271225050,364635339,4.5,903,455,2026-08
공주 산성시장,재래시장,충청남도 공주시,1271236341,364575705,3.9,664,502,2026-08
공주역,기차역,충청남도 공주시,,,4.0,88,30,2026-08
