name,category_raw,category,road_address,lat,lon,star,visitor_rev,blog_rev,collected_at
갑사,사찰,역사문화,충청남도 공주시,36.3656549,127.1861223,4.4,707,512,2026-08
개성집공주점,한정식,먹거리,충청남도 공주시,36.4635339,127.122505,4.5,1287,640,2026-08
계룡산상신농촌체험휴양마을,농촌체험마을,체험,충청남도 공주시,36.3844632,127.2200689,4.9,4,5,2026-08
계룡저수지,저수지,자연,충청남도 공주시,36.3581031,127.1529679,,17,12,2026-08
고마나루1999,한식,먹거리,충청남도 공주시,36.4649789,127.1227318,4.4,396,288,2026-08
고마나루솔밭,숲,자연,충청남도 공주시,36.4615026,127.1014004,4.0,138,87,2026-08
곡물집,카페,카페감성,충청남도 공주시,36.449651,127.1195048,5.0,2,1,2026-08
공산성,문화유적,역사문화,충청남도 공주시,36.4632237,127.126011,4.3,1204,890,2026-08
공산성본가,한식,먹거리,충청남도 공주시,36.4639695,127.1221439,4.2,1128,507,2026-08
공주목재문화체험장,체험마을,체험,충청남도 공주시,36.4220185,127.1204127,4.3,71,44,2026-08
공주무령왕릉과왕릉원,문화유적,역사문화,충청남도 공주시,36.4630908,127.1144131,4.2,512,430,2026-08
공주산림휴양마을,자연휴양림,자연,충청남도 공주시,36.4234616,127.1190677,,54,33,2026-08
공주산성시장,재래시장,먹거리,충청남도 공주시,36.4575705,127.1236341,3.9,1043,812,2026-08
공주산성시장문화공원,공원,휴식,충청남도 공주시,36.4570503,127.1229158,,9,6,2026-08
공주한옥마을,한옥,역사문화,충청남도 공주시,36.4645968,127.1085301,3.6,246,315,2026-08
국립공주박물관,박물관,역사문화,충청남도 공주시,36.4655934,127.1123031,4.4,843,651,2026-08
대장이랜드중장농촌체험휴양마을,농촌체험마을,체험,충청남도 공주시,36.3686501,127.1650303,,4,3,2026-08
대통길작은미술관,미술관,휴식,충청남도 공주시,36.453105,127.122403,4.8,8,18,2026-08
동학사,사찰,역사문화,충청남도 공주시,36.3533309,127.2190758,4.3,1018,604,2026-08
마곡사,사찰,역사문화,충청남도 공주시,36.5588933,127.0120163,4.6,1532,1120,2026-08
베이커리밤마을,베이커리,카페감성,충청남도 공주시,36.4647566,127.1230132,4.4,312,401,2026-08
석장리박물관,박물관,역사문화,충청남도 공주시,36.4477636,127.1889636,3.8,121,96,2026-08
신원사,사찰,역사문화,충청남도 공주시,36.3357096,127.1839615,3.9,168,122,2026-08
아트센터고마,문화예술회관,체험,충청남도 공주시,36.4666736,127.1074328,3.8,112,79,2026-08
유구색동수국정원,정원,자연,충청남도 공주시,36.555489,126.9543887,4.8,431,705,2026-08
이미정갤러리,갤러리,휴식,충청남도 공주시,36.4527243,127.1225874,,12,9,2026-08
임립미술관,미술관,휴식,충청남도 공주시,36.3964545,127.1406196,4.7,14,61,2026-08
자연미술관Ko,미술관,휴식,충청남도 공주시,36.4536085,127.1236778,4.8,11,39,2026-08
천주교황새바위순교성지,성지,역사문화,충청남도 공주시,36.4638739,127.1200687,3.8,92,58,2026-08
충청남도역사박물관,박물관,역사문화,충청남도 공주시,36.453763,127.1266077,3.7,63,41,2026-08
